order_id,order_date,ship_date,ship_mode,customer_id,location_id,shipping_cost,order_priority
AG-2012-8660,2012-09-08,2012-08-13,Standard Class,MP-7470,858,0.4,Medium
AG-2013-2580,2013-11-06,2013-06-15,Standard Class,KE-6420,1157,8.47,Medium
AG-2013-2690,2013-07-09,2013-10-09,Second Class,CP-2085,3009,25.75,Critical
AG-2013-2840,2013-05-21,2013-05-24,First Class,CS-1860,2988,17.73,High
AG-2013-2970,2013-04-26,2013-01-05,Standard Class,CM-2160,493,1.28,Medium
AG-2013-3970,2013-08-24,2013-08-28,Standard Class,RD-9585,2314,1.66,Medium
AG-2013-4150,2013-07-18,2013-07-21,Second Class,DB-3270,858,107.72,High
AG-2013-5140,2013-08-03,2013-11-03,First Class,HF-4995,1157,24.27,Medium
AG-2013-5250,2013-02-04,2013-06-04,Standard Class,AG-765,2895,10.35,Medium
AG-2013-5570,2013-01-05,2013-03-05,First Class,AH-75,1157,23.92,High
AG-2013-5820,2013-05-11,2013-08-11,First Class,ES-4080,858,21.189999999999998,Medium
AG-2013-6090,2013-03-14,2013-03-18,Standard Class,RD-9585,858,5.14,High
AG-2013-640,2013-08-23,2013-08-27,Second Class,BO-1425,2988,7.33,High
AG-2013-6520,2013-04-02,2013-09-02,Standard Class,ML-7395,2970,7.29,Medium
AG-2013-6630,2013-10-12,2013-12-12,First Class,LW-7125,1781,70.02,High
AG-2013-6810,2013-10-07,2013-12-07,Second Class,NF-8595,493,109.24,High
AG-2013-7890,2013-08-26,2013-08-29,Second Class,DJ-3510,493,64.78,Medium
AG-2013-8490,2013-08-30,2013-02-09,Second Class,SK-9990,493,96.93,High
AG-2013-8990,2013-12-09,2013-09-14,First Class,RB-9645,2130,50.56,Critical
AG-2013-9570,2013-04-02,2013-09-02,Standard Class,AR-345,2314,2.4,Medium
AG-2013-9890,2013-09-30,2013-04-10,Standard Class,BT-1485,2059,6.07,High
AG-2014-2040,2014-01-01,2014-06-01,Standard Class,CR-2730,493,16.77,High
AG-2014-2110,2014-12-30,2015-04-01,Second Class,TB-11250,493,12.190000000000001,Medium
AG-2014-2230,2014-10-27,2014-10-31,Second Class,DK-3225,814,1.41,Medium
AG-2014-2280,2014-12-25,2015-01-01,Standard Class,MS-7980,493,24.86,Medium
AG-2014-2360,2014-01-01,2014-06-01,Standard Class,JE-5475,2895,2.75,High
AG-2014-2600,2014-11-18,2014-11-20,Second Class,DR-2940,493,31.54,Medium
AG-2014-2760,2014-09-06,2014-06-13,Standard Class,CL-2565,948,227.04999999999998,High
AG-2014-2830,2014-01-08,2014-04-08,Second Class,MO-7800,2715,31.59,Medium
AG-2014-3130,2014-01-11,2014-04-11,Second Class,CC-2100,1157,25.79,Medium
AG-2014-3510,2014-06-11,2014-07-11,First Class,CR-2820,3399,6.3,High
AG-2014-3710,2014-01-24,2014-01-29,Second Class,IL-5100,493,21.490000000000002,Medium
AG-2014-4280,2014-04-12,2014-10-12,Standard Class,RD-9660,1157,119.67,Medium
AG-2014-4290,2014-06-30,2014-05-07,Standard Class,RC-9960,1157,122.39,High
AG-2014-4590,2014-06-24,2014-06-24,Same Day,AM-360,493,24.16,Critical
AG-2014-4720,2014-12-27,2014-12-31,Standard Class,RO-9780,1157,0.52,Medium
AG-2014-4840,2014-08-20,2014-08-25,Standard Class,CD-2790,1157,65.58,High
AG-2014-4880,2014-12-06,2014-06-14,Second Class,RS-9420,2314,0.31,Medium
AG-2014-5620,2014-08-14,2014-08-20,Standard Class,LD-6855,1157,8.27,Medium
AG-2014-6170,2014-05-20,2014-05-24,Standard Class,SL-10155,1157,1.37,Medium
AG-2014-6310,2014-01-24,2014-01-30,Standard Class,JG-5160,493,6.9399999999999995,Low
AG-2014-6470,2014-01-13,2014-01-15,First Class,PO-8865,814,99.47000000000001,Critical
AG-2014-6650,2014-02-03,2014-07-03,Standard Class,AC-420,2753,23.39,Medium
AG-2014-7430,2014-05-08,2014-10-08,Standard Class,HR-4830,814,19.91,Medium
AG-2014-7490,2014-07-23,2014-07-28,Standard Class,RD-9930,3788,1.19,Medium
AG-2014-7770,2014-07-03,2014-12-03,Standard Class,JO-5550,2753,34.03,Medium
AG-2014-8040,2014-03-31,2014-02-04,Second Class,BD-1605,2918,19.74,High
AG-2014-8240,2014-12-03,2014-03-16,Standard Class,AR-570,2895,29.42,High
AG-2014-8390,2014-05-27,2014-05-30,Second Class,CR-2820,2314,52.43,Critical
AG-2014-8600,2014-01-22,2014-01-27,Standard Class,SB-10170,2059,57.739999999999995,Medium
AG-2014-8620,2014-11-02,2014-02-17,Standard Class,DS-3180,493,24.09,Low
AG-2014-8710,2014-01-29,2014-03-02,Standard Class,CA-2310,2130,6.25,Medium
AG-2014-8930,2014-12-09,2014-09-16,Second Class,CC-2220,1157,2.41,Medium
AG-2014-9060,2014-12-27,2015-01-01,Standard Class,YS-11880,493,12.66,Medium
AG-2014-9240,2014-07-11,2014-10-11,First Class,JL-5835,1157,1.87,High
AG-2014-9430,2014-12-06,2014-06-18,Standard Class,DL-2865,2970,27.5,Medium
AJ-2011-4230,2011-12-30,2012-05-01,Standard Class,JH-5820,194,2.55,Medium
AJ-2011-4420,2011-08-06,2011-08-06,Same Day,TC-10980,194,182.06,Critical
AJ-2011-4460,2011-02-23,2011-02-23,Same Day,CM-1935,194,9.76,Medium
AJ-2011-7680,2011-09-14,2011-09-20,Standard Class,RP-9270,194,6.24,Medium
AJ-2012-7450,2012-09-25,2012-09-30,Standard Class,GM-4680,194,2.66,Medium
AJ-2012-7720,2012-02-11,2012-05-11,First Class,SG-10890,194,78.54,High
AJ-2013-1340,2013-02-06,2013-04-06,Second Class,JR-5700,194,5.36,High
AJ-2013-1760,2013-08-14,2013-08-14,Same Day,CA-2310,194,10.89,Medium
AJ-2013-180,2013-07-08,2013-11-08,Second Class,NC-8340,194,4.07,High
AJ-2013-2640,2013-01-23,2013-01-27,Standard Class,JL-5835,194,438.26,High
AJ-2013-3610,2013-10-01,2013-12-01,Second Class,GZ-4545,194,1.37,High
AJ-2013-8630,2013-07-01,2013-12-01,Standard Class,DC-3285,194,0.42,Medium
AJ-2014-1760,2014-11-09,2014-09-16,Standard Class,MS-7365,194,5.75,Medium
AJ-2014-5740,2014-10-23,2014-10-28,Standard Class,LW-6825,194,21.49,High
AJ-2014-6170,2014-09-16,2014-09-18,Second Class,SH-9975,194,4.28,High
AJ-2014-6800,2014-12-27,2015-01-01,Standard Class,DR-2880,194,48.41,Medium
AJ-2014-8550,2014-02-24,2014-01-03,Standard Class,GM-4440,194,2.25,Medium
AJ-2014-9020,2014-09-13,2014-09-19,Standard Class,RD-9720,194,2.98,Medium
AJ-2014-9550,2014-08-30,2014-04-09,Second Class,GG-4650,194,2.16,Medium
AJ-2014-9620,2014-12-30,2014-12-30,Same Day,DJ-3420,194,27.41,High
AL-2011-4500,2011-01-11,2011-05-11,Standard Class,EM-3825,3730,5.54,Medium
AL-2011-7440,2011-03-03,2011-05-03,Second Class,SC-10230,344,301.73,High
AL-2011-9500,2011-08-11,2011-11-11,Second Class,MC-8130,2510,0.91,High
AL-2012-8670,2012-04-24,2012-04-30,Standard Class,ML-7395,2510,40.480000000000004,Medium
AL-2012-9220,2012-04-19,2012-04-24,Standard Class,JD-5895,631,5.35,Medium
AL-2012-9980,2012-07-28,2012-02-08,Standard Class,JD-6015,2510,26.48,Medium
AL-2013-3830,2013-12-08,2013-08-14,First Class,TT-11460,631,206.56,Critical
AL-2013-7280,2013-04-20,2013-04-20,Same Day,GA-4515,1968,59.24,Critical
AL-2013-7420,2013-12-20,2013-12-25,Standard Class,NC-8535,2510,4.06,Medium
AL-2014-8450,2014-10-03,2014-12-03,Second Class,JB-5925,1968,48.22,High
AM-2011-7110,2011-12-14,2011-12-19,Standard Class,HM-4980,3462,11.42,High
AM-2013-2480,2013-04-17,2013-04-23,Standard Class,MG-7695,3462,2.08,Low
AO-2011-1390,2011-01-02,2011-04-02,Second Class,DK-3150,1122,53.08,Critical
AO-2011-1670,2011-08-01,2011-01-13,Standard Class,HZ-4950,253,349.87,High
AO-2011-1710,2011-03-02,2011-10-02,Standard Class,SW-10455,1122,0.8,Low
AO-2011-4780,2011-10-10,2011-10-14,Standard Class,BS-1800,1122,154.46,High
AO-2011-4910,2011-06-01,2011-11-01,Standard Class,GK-4620,1122,2.0,Medium
AO-2011-7110,2011-06-21,2011-06-25,Standard Class,AA-480,2804,33.44,Medium
AO-2011-8000,2011-12-15,2011-12-19,Standard Class,JK-5370,1122,63.86,High
AO-2011-8260,2011-07-16,2011-07-20,Standard Class,RO-9780,1908,74.28,High
AO-2011-8430,2011-01-20,2011-01-20,Same Day,MA-7995,1122,108.53,High
AO-2011-9910,2011-05-12,2011-12-12,Standard Class,RP-9855,1122,2.19,Medium
AO-2012-1000,2012-03-12,2012-07-12,Standard Class,DK-3225,1122,31.939999999999998,Medium
AO-2012-1220,2012-01-23,2012-01-26,First Class,DL-3495,1122,30.61,Medium
AO-2012-1230,2012-11-15,2012-11-20,Standard Class,DH-3075,3614,5.87,Medium
AO-2012-2480,2012-06-13,2012-06-18,Standard Class,MG-8205,1122,13.31,Medium
AO-2012-2650,2012-12-20,2012-12-25,Standard Class,SF-10200,1908,18.65,Medium
AO-2012-2750,2012-09-08,2012-08-14,Standard Class,CA-2310,253,0.37,Medium
AO-2012-2810,2012-09-29,2012-01-10,Second Class,HJ-4875,1122,20.92,Medium
AO-2012-3210,2012-09-27,2012-02-10,Standard Class,JE-5745,2804,36.64,Medium
AO-2012-5450,2012-12-11,2012-12-11,Same Day,LH-6900,1122,31.59,High
AO-2012-6670,2012-09-20,2012-09-25,Standard Class,MO-7500,1908,2.06,High
AO-2012-7800,2012-07-21,2012-07-24,First Class,JC-5340,1122,14.47,Medium
AO-2012-7980,2012-12-20,2012-12-24,Standard Class,RD-9585,1908,29.39,Medium
AO-2012-8920,2012-04-12,2012-08-12,Standard Class,CC-2475,1122,12.08,Medium
AO-2013-1140,2013-11-21,2013-11-27,Standard Class,LW-7125,2085,52.38,Medium
AO-2013-1470,2013-10-12,2013-12-16,Standard Class,RE-9405,253,2.31,Medium
AO-2013-1640,2013-10-25,2013-10-29,Second Class,IG-5085,1122,167.28,High
AO-2013-2100,2013-05-06,2013-09-06,Standard Class,AS-285,1122,96.48,High
AO-2013-2180,2013-11-14,2013-11-18,Standard Class,LC-6960,253,65.35,High
AO-2013-2230,2013-05-28,2013-02-06,Standard Class,JK-6090,1122,9.450000000000001,High
AO-2013-2380,2013-03-28,2013-01-04,Standard Class,CM-2655,1122,10.96,High
AO-2013-3830,2013-10-30,2013-05-11,Standard Class,SC-10305,1122,1.63,Medium
AO-2013-4310,2013-10-30,2013-04-11,Second Class,CW-1905,1122,12.44,Medium
AO-2013-6050,2013-10-12,2013-12-15,Standard Class,JP-5460,1122,9.25,Medium
AO-2013-6140,2013-12-27,2013-12-31,Second Class,BP-1290,1122,8.57,High
AO-2013-6910,2013-12-31,2014-03-01,First Class,JH-5985,1122,91.0,Medium
AO-2013-7170,2013-12-08,2013-08-17,Standard Class,HG-4845,1122,13.31,Medium
AO-2013-7370,2013-11-13,2013-11-17,Standard Class,MM-7920,1122,0.95,Medium
AO-2013-9250,2013-06-12,2013-10-12,Standard Class,GM-4500,253,156.32,Medium
AO-2014-1550,2014-11-04,2014-04-13,Second Class,SC-10020,1122,7.85,High
AO-2014-190,2014-05-12,2014-11-12,Standard Class,RW-9540,1908,15.4,Medium
AO-2014-2110,2014-10-17,2014-10-22,Second Class,EP-3915,1908,22.7,High
AO-2014-2160,2014-05-20,2014-05-24,Standard Class,LC-7050,1908,24.52,Medium
AO-2014-2270,2014-05-28,2014-04-06,Standard Class,BD-1725,1122,95.8,Low
AO-2014-2460,2014-06-11,2014-11-11,Standard Class,LM-7065,1122,56.09,Medium
AO-2014-2730,2014-09-25,2014-09-30,Standard Class,JF-5415,1122,2.29,Medium
AO-2014-4190,2014-11-22,2014-11-26,Standard Class,DR-2940,1908,2.52,Medium
AO-2014-420,2014-11-18,2014-11-19,First Class,DV-3465,3457,10.08,High
AO-2014-4830,2014-08-31,2014-03-09,Second Class,JM-5655,1122,51.82,High
AO-2014-5290,2014-10-12,2014-12-16,Standard Class,RM-9375,1122,24.9,Medium
AO-2014-5450,2014-02-19,2014-02-23,Standard Class,DC-2850,1122,17.41,Medium
AO-2014-5560,2014-12-04,2014-04-16,Standard Class,TB-11355,1122,6.949999999999999,High
AO-2014-620,2014-08-25,2014-08-30,Standard Class,AZ-750,253,6.42,Medium
AO-2014-650,2014-11-09,2014-11-09,Same Day,LC-6930,253,3.63,High
AO-2014-6780,2014-01-13,2014-01-18,Standard Class,SK-9990,1122,7.57,Medium
AO-2014-6900,2014-08-15,2014-08-22,Standard Class,AJ-945,1908,3.11,Medium
AO-2014-7730,2014-12-31,2015-04-01,Standard Class,KL-6645,1122,11.5,High
AO-2014-7960,2014-07-08,2014-10-08,Second Class,BE-1455,1908,73.95,Medium
AO-2014-8210,2014-04-11,2014-08-11,Standard Class,KD-6345,1122,25.43,High
AO-2014-8250,2014-09-18,2014-09-24,Standard Class,GM-4500,1122,71.88,Low
AO-2014-9370,2014-05-27,2014-01-06,Second Class,AH-585,1122,88.49,Medium
AU-2011-0,2011-02-09,2011-02-09,Same Day,AG-675,384,282.09,Critical
AU-2011-3990,2011-03-28,2011-02-04,Standard Class,LR-7035,384,54.699999999999996,Medium
AU-2011-4210,2011-05-05,2011-09-05,Second Class,PM-8940,3327,8.870000000000001,Medium
AU-2011-5790,2011-04-20,2011-04-24,Second Class,BS-1590,3327,9.25,Medium
AU-2011-790,2011-08-18,2011-08-22,Standard Class,DS-3030,2625,0.69,Medium
AU-2011-9050,2011-07-29,2011-03-08,Standard Class,JL-5130,3553,5.84,Medium
AU-2012-1790,2012-11-06,2012-06-16,Standard Class,EH-4185,384,8.18,Medium
AU-2012-4970,2012-12-22,2012-12-28,Standard Class,AM-360,384,42.25,Medium
AU-2012-5610,2012-12-21,2012-12-24,First Class,SV-10815,384,9.01,Medium
AU-2012-6590,2012-12-04,2012-04-14,Second Class,SK-9990,384,129.20000000000002,High
AU-2012-7410,2012-07-16,2012-07-20,Standard Class,LA-6780,384,20.86,Medium
AU-2012-940,2012-12-06,2012-06-16,Standard Class,LB-6795,384,53.35,Medium
AU-2012-9900,2012-10-29,2012-01-11,First Class,GM-4500,384,42.57,Medium
AU-2013-2590,2013-09-26,2013-09-26,Same Day,AC-615,384,38.05,High
AU-2013-3370,2013-03-28,2013-01-04,Standard Class,JM-5580,3327,5.23,Medium
AU-2013-3750,2013-05-07,2013-11-07,Standard Class,AG-495,384,0.7,Medium
AU-2013-6380,2013-03-14,2013-03-19,Standard Class,LE-6810,384,2.98,Medium
AU-2013-6980,2013-03-26,2013-03-29,Second Class,SN-10710,384,57.5,High
AU-2013-8150,2013-08-20,2013-08-22,First Class,MO-7500,384,8.42,Medium
AU-2013-9620,2013-04-15,2013-04-19,Standard Class,AH-585,384,31.58,High
AU-2013-9920,2013-10-22,2013-10-29,Standard Class,CK-2325,384,5.65,Medium
AU-2014-1430,2014-06-26,2014-06-29,Second Class,PF-9120,384,37.730000000000004,Medium
AU-2014-1530,2014-03-09,2014-09-09,Standard Class,FM-4215,384,45.93,Medium
AU-2014-1900,2014-02-07,2014-07-07,Second Class,BT-1680,384,9.33,Medium
AU-2014-3670,2014-12-17,2014-12-22,Standard Class,DA-3450,3077,15.41,Medium
AU-2014-6170,2014-02-17,2014-02-20,Second Class,DH-3675,384,39.0,High
AU-2014-6560,2014-08-27,2014-08-31,Standard Class,MD-7860,1831,68.68,High
AU-2014-6650,2014-11-26,2014-11-30,Standard Class,EB-3975,3077,14.08,Medium
AU-2014-7090,2014-03-20,2014-03-26,Standard Class,SU-10665,3321,9.48,Medium
AU-2014-800,2014-07-14,2014-07-16,First Class,GB-4530,1831,18.96,High
AU-2014-8900,2014-03-26,2014-03-31,Second Class,DD-3570,384,3.9,Medium
AU-2014-8970,2014-08-09,2014-12-09,Standard Class,AG-765,384,76.55000000000001,High
AU-2014-9620,2014-08-26,2014-02-09,Standard Class,CA-1965,2625,56.150000000000006,Medium
AU-2014-970,2014-04-08,2014-09-08,Standard Class,MK-7905,384,1.28,Medium
BA-2013-8930,2013-09-20,2013-09-22,Second Class,ES-4080,1843,72.75999999999999,Medium
BK-2011-6660,2011-02-12,2011-07-12,Standard Class,EB-3750,1475,48.87,High
BK-2012-7820,2012-03-21,2012-03-26,Standard Class,CM-2655,1475,4.8,High
BK-2012-9590,2012-06-08,2012-10-08,Second Class,NW-8400,1475,119.34,High
BK-2013-5970,2013-06-21,2013-06-26,Standard Class,GT-4710,1475,29.14,Medium
BK-2014-2410,2014-12-02,2014-12-02,Same Day,PG-8820,1475,36.8,Medium
BK-2014-2770,2014-05-12,2014-09-12,Standard Class,ML-7755,3480,6.21,Medium
BK-2014-5210,2014-08-20,2014-08-26,Standard Class,ME-7320,2725,25.25,Low
BK-2014-7550,2014-11-02,2014-02-15,Standard Class,RS-9870,1475,24.14,High
BN-2011-1530,2011-01-29,2011-04-02,Standard Class,NB-8655,1582,3.35,Medium
BN-2011-2460,2011-09-21,2011-09-26,Standard Class,DO-3435,594,219.81,High
BN-2011-2620,2011-04-28,2011-02-05,Standard Class,BS-1590,3342,0.71,High
BN-2011-4470,2011-04-11,2011-08-11,Standard Class,RW-9630,2647,32.12,Medium
BN-2011-6760,2011-09-21,2011-09-22,First Class,JK-5205,594,95.1,High
BN-2012-3640,2012-11-19,2012-11-23,Standard Class,AS-225,1582,7.14,Medium
BN-2012-5720,2012-07-09,2012-10-09,First Class,HZ-4950,594,4.28,Critical
BN-2012-6200,2012-06-29,2012-03-07,Standard Class,CC-2670,3803,0.92,Medium
BN-2012-8190,2012-04-16,2012-04-21,Standard Class,AA-375,3803,0.42,Medium
BN-2013-2680,2013-12-30,2014-03-01,Standard Class,BP-1095,3209,23.69,High
BN-2013-570,2013-02-08,2013-06-08,Second Class,SW-10455,594,3.61,Medium
BN-2013-6580,2013-11-28,2013-01-12,First Class,KD-6495,2056,112.26,High
BN-2013-9270,2013-09-22,2013-09-27,Standard Class,KB-6315,2056,0.38,Medium
BN-2013-9770,2013-08-26,2013-08-30,Second Class,CY-2745,3452,8.98,High
BN-2014-1970,2014-02-28,2014-04-03,Standard Class,TB-11355,1582,1.32,Medium
BN-2014-2740,2014-10-12,2014-12-14,Standard Class,AS-90,2647,2.95,High
BN-2014-4710,2014-03-06,2014-07-06,Second Class,RS-9420,3342,13.16,Medium
BN-2014-4860,2014-04-09,2014-09-09,Standard Class,TS-11430,1582,1.19,Medium
BN-2014-4920,2014-09-19,2014-09-23,Standard Class,TP-11565,1582,0.44,Medium
BN-2014-5090,2014-06-13,2014-06-16,Second Class,MB-7305,1582,9.22,Medium
BN-2014-8500,2014-10-02,2014-02-14,Standard Class,TH-11115,1582,23.52,Medium
BN-2014-9200,2014-11-27,2014-03-12,Standard Class,PF-9165,1582,83.71000000000001,Medium
BN-2014-9930,2014-09-03,2014-09-03,Same Day,GH-4410,1582,5.04,Medium
BO-2011-470,2011-12-08,2011-08-14,Second Class,SS-10590,1109,17.490000000000002,Critical
BO-2011-6900,2011-08-29,2011-03-09,Standard Class,DK-2835,3149,2.35,Medium
BO-2011-7760,2011-11-21,2011-11-26,Second Class,RB-9570,1837,7.42,Medium
BO-2011-9310,2011-08-27,2011-02-09,Standard Class,ES-4020,150,3.92,Medium
BO-2012-2360,2012-08-16,2012-08-20,Standard Class,GH-4410,2296,24.03,High
BO-2012-4390,2012-11-09,2012-09-17,Standard Class,JK-5730,150,25.58,Medium
BO-2012-5160,2012-06-09,2012-08-09,First Class,CS-2175,1109,83.13,High
BO-2012-5210,2012-12-14,2012-12-18,Standard Class,LC-7140,3819,0.66,Medium
BO-2012-5950,2012-07-23,2012-07-30,Standard Class,AM-705,2170,49.78,Low
BO-2012-6660,2012-03-28,2012-02-04,Standard Class,DJ-3630,1109,30.46,High
BO-2012-7210,2012-08-06,2012-12-06,Standard Class,NR-8550,1109,14.25,Medium
BO-2012-7240,2012-01-02,2012-05-02,Standard Class,BT-1305,2805,2.46,Medium
BO-2012-7320,2012-08-22,2012-08-27,Standard Class,TZ-11445,2170,3.44,Medium
BO-2012-8820,2012-12-06,2012-12-06,Same Day,MM-8280,150,13.02,High
BO-2013-1280,2013-08-08,2013-12-08,Standard Class,KH-6360,150,43.46,High
BO-2013-1400,2013-11-12,2013-12-18,Standard Class,ML-8265,1109,3.62,Low
BO-2013-2880,2013-08-11,2013-11-14,Standard Class,KB-6240,2170,10.479999999999999,Medium
BO-2013-3500,2013-06-25,2013-06-29,Second Class,AF-870,1109,11.71,Medium
BO-2013-3590,2013-07-17,2013-07-19,Second Class,HW-4935,1109,46.39,Critical
BO-2013-3910,2013-09-07,2013-12-07,Second Class,PO-9180,150,0.52,Medium
BO-2013-8060,2013-06-11,2013-08-11,Second Class,PJ-8835,1837,20.299999999999997,Critical
BO-2013-9400,2013-11-15,2013-11-15,Same Day,RD-9660,2296,9.36,High
BO-2014-1160,2014-09-19,2014-09-21,Second Class,DL-3315,1109,15.24,High
BO-2014-1510,2014-03-06,2014-09-06,Standard Class,PB-9105,3149,46.74,Medium
BO-2014-170,2014-06-25,2014-01-07,Standard Class,TC-11145,1837,11.12,Medium
BO-2014-1930,2014-08-09,2014-09-15,Standard Class,JF-5490,1837,50.65,Low
BO-2014-2490,2014-06-08,2014-10-08,Standard Class,VG-11790,1837,5.199999999999999,Medium
BO-2014-2640,2014-08-08,2014-09-08,First Class,TW-11025,1837,3.16,High
BO-2014-2670,2014-09-29,2014-05-10,Standard Class,KA-6525,3297,23.7,Medium
BO-2014-4120,2014-12-25,2014-12-27,Second Class,LC-7050,150,1.81,Critical
BO-2014-5570,2014-07-02,2014-02-14,Standard Class,DS-3030,1837,66.34,Medium
BO-2014-5730,2014-06-26,2014-06-29,Second Class,ME-7320,1109,5.28,High
BO-2014-620,2014-10-01,2014-01-15,Standard Class,DB-2910,2805,42.65,Medium
BO-2014-6700,2014-06-06,2014-10-06,Standard Class,CD-2790,1837,0.48,High
BO-2014-8490,2014-11-12,2014-11-12,Same Day,EB-4110,2296,43.940000000000005,Medium
BO-2014-8690,2014-03-28,2014-01-04,Second Class,MS-7980,1109,8.86,Medium
BO-2014-8960,2014-11-02,2014-02-15,Second Class,MZ-7335,150,446.33,High
BO-2014-9040,2014-02-03,2014-07-03,Second Class,TS-11655,1109,2.34,Medium
BO-2014-9070,2014-08-07,2014-07-15,Standard Class,TW-11025,1109,2.32,Low
BO-2014-9240,2014-05-06,2014-08-06,Second Class,AA-315,1109,91.85,Medium
BO-2014-9490,2014-06-17,2014-06-20,First Class,PB-9150,1109,144.21,Medium
BO-2014-9810,2014-07-15,2014-07-19,Standard Class,ML-7410,150,1.53,Medium
BU-2011-1220,2011-06-08,2011-08-08,Second Class,ME-7725,2364,6.01,Critical
BU-2011-2880,2011-12-23,2011-12-29,Standard Class,EH-3945,2585,30.66,Medium
BU-2011-5160,2011-07-25,2011-01-08,Standard Class,HR-4770,796,31.6,Low
BU-2011-5830,2011-10-05,2011-05-17,Standard Class,VS-11820,796,24.99,Medium
BU-2011-7450,2011-07-11,2011-09-11,Second Class,DE-3255,1147,123.03,Medium
BU-2012-1110,2012-11-15,2012-11-15,Same Day,EK-3795,796,3.9,High
BU-2012-1740,2012-03-09,2012-07-09,Standard Class,MH-7455,2021,48.57,Medium
BU-2012-2320,2012-01-11,2012-05-11,Standard Class,PC-8745,796,1.6,Medium
BU-2012-360,2012-11-27,2012-03-12,Standard Class,MT-8070,3021,16.91,Low
BU-2012-4360,2012-11-20,2012-11-21,First Class,JC-5340,2021,33.97,High
BU-2012-460,2012-07-21,2012-07-25,Standard Class,AH-30,3188,13.989999999999998,Medium
